言語,段階,目安_外国語として,目安_母語として,取り組みのヒント,根拠メモ,概要_聞く,概要_話す,概要_読む,概要_書く
日本語,1,ひらがなが読める・あいさつ(JLPT未満),就学前(ひらがな読み),1日10〜15分。読み聞かせと語りかけを毎日。ひらがなはかるた・積み木など遊びで親しむ。,幼稚園教育要領・小学校入学前の言語発達目安を参考,あいさつや身近な指示がわかる,あいさつと身近な言葉を言える,ひらがなを読み始める,文字を書く準備ができる
日本語,2,JLPT N5,小1〜2相当 / 漢検10〜9級,1日15〜20分。音読を毎日+短い日記の習慣化。基本の漢字を生活の中で読む機会を作る。,学習指導要領(小学校国語)・JLPT N5・漢検級別基準を参考,少し長い話や続けた指示を理解できる,経験を短く順序立てて話せる,ひらがな中心の短い本を読める,短い文を書ける
日本語,3,JLPT N4,小3〜4相当 / 漢検8〜7級,1日15〜20分。読書習慣(月2冊以上)+要約練習。子ども新聞やニュースにも触れる。,学習指導要領(小学校国語)・JLPT N4・漢検級別基準を参考,まとまった説明を聞いて要点をつかめる,構成を意識して発表・意見が言える,学年相当の本を読み通せる,段落構成のある文章を書ける
日本語,4,JLPT N3,小5〜中1相当 / 漢検6〜4級,週3〜4回×20〜30分。新聞・新書に触れ、要約と意見文を書く練習。添削で仕上げる。,学習指導要領(小学校〜中学校国語)・JLPT N3・漢検級別基準を参考,論理的な話を聞き取り整理できる,根拠を示して話し、敬語が使える,説明文・記事の要点を要約できる,意見文を構成立てて書ける
日本語,5,JLPT N2,中2〜高1相当 / 漢検3〜準2級,週3〜4回×30分。評論文の読解と小論文演習。討論やプレゼンで論理を口頭でも鍛える。,学習指導要領(中学〜高校国語)・JLPT N2・漢検級別基準を参考,講演・討論の論点を整理できる,筋道立てて主張し議論できる,評論・新書の論旨を要約できる,小論文・実用文書を書ける
日本語,6,JLPT N1,高2以上相当 / 漢検2級以上,週4回×30〜40分。論説・専門書の読解と、仕事のメール・報告書など実務文書の作成に取り組む。,学習指導要領(高校国語)・JLPT N1・漢検級別基準を参考,専門的な議論の論理構成まで把握できる,会議・議論で論点を整理して発言できる,論説・専門文書を正確に読み取れる,実務文書・論説文を書ける
英語,1,英検Jr. / CEFR Pre-A1,US Pre-K(読み聞かせ期),毎日15分、英語の歌・かけ流しとフォニックス入門。親も一緒に歌って「楽しい時間」にする。,CEFR-J Pre-A1・英検Jr.出題範囲・US Pre-K読解目安を参考,英語の音と身近な語がわかる,定型フレーズと単語で言える,アルファベットと基本音を読める,アルファベットを書ける
英語,2,英検5〜4級 / CEFR A1,US Grade K-1 / Lexile 〜300L,1日30分。段階別リーダー(ORT等)の多読を週3冊+オンラインレッスン週1〜2回。,CEFR-J A1・英検5/4級・US Grade K-1 / Lexile基準を参考,日常のやりとりを聞き取れる,自分のことを文で話せる,段階別リーダーの初級を読める,短い英文を書ける
英語,3,英検3級 / CEFR A2,US Grade 2-3 / Lexile 300〜600L,1日30〜40分。チャプターブック多読+英語日記+オンライン英会話週2回。,CEFR-J A2・英検3級・US Grade 2-3 / Lexile基準を参考,子供向けコンテンツを字幕なしで理解,意見を理由付きで話せる,初級チャプターブックを読める,まとまった文章を書ける
英語,4,英検準2〜2級・TOEIC 550+ / CEFR B1,US Grade 4-6 / Lexile 600〜900L,1日40分。海外ドラマ・ニュースの多聴多読+エッセイを書いて添削を受ける。,CEFR-J B1・英検準2/2級・TOEIC・US Grade 4-6 / Lexile基準を参考,生の英語コンテンツを楽しめる,社会的な話題で意見を言える,児童〜YA向け読み物を読める,構成のあるエッセイを書ける
英語,5,英検準1級・TOEIC 785+・IELTS 5.5〜6.5 / CEFR B2,US Grade 7-9 / Lexile 900〜1100L,1日40〜60分。アカデミックな素材で4技能をバランスよく。出願を視野に試験対策も。,CEFR B2・英検準1級・IELTSバンドスコア・US Grade 7-9 / Lexile基準を参考,講演・アカデミック素材を理解,議論に参加できる,一般向け書籍・記事を読める,構成の整った意見文を書ける
英語,6,英検1級・IELTS 7.0+ / CEFR C1,US Grade 10+ / Lexile 1100L〜,週4回×40分。専門的な講演・論説に触れ、仕事のメールや報告書など実務英語を書く。,CEFR C1・英検1級・IELTS 7.0+・US Grade 10+ / Lexile基準を参考,専門的な講演・議論を理解できる,専門的な議論で発言できる,専門書・論説を読める,論理的な文章・実務文書を書ける
中国語,1,拼音・あいさつ(YCT1〜2),学前(識字前),1日10〜15分。中国語の童謡かけ流しで声調の音感づくり。拼音は遊びで少しずつ。,YCT1〜2級語彙・幼児期の声調獲得研究を参考,中国語の音と身近な語がわかる,あいさつと数・名前を言える,拼音と身近な漢字に親しむ,文字を書く準備ができる
中国語,2,HSK1〜2級・中検準4級,语文 一〜二年级,1日15〜20分。拼音入門+単語カード遊び+オンラインレッスン週1回。,HSK1〜2級・中検準4級・部编版语文 一〜二年级を参考,ゆっくりの日常会話を聞き取れる,自己紹介と定型表現ができる,拼音付きの短文を読める,短い文を書ける
中国語,3,HSK3級・中検4級,语文 三〜四年级,週3回×20分+オンラインレッスン週1回。細く長く続けることを優先する。,HSK3級・中検4級・部编版语文 三〜四年级を参考,日常会話・動画を理解できる,実用場面をこなせる,拼音なしの短文を読める,短い文章を書ける
中国語,4,HSK4級・中検3級,语文 五〜六年级,週3〜4回×30分。検定対策+中国語動画の多聴で語彙を定着させる。,HSK4級・中検3級・部编版语文 五〜六年级を参考,ニュース・ドラマの大意を掴める,意見を述べられる,記事・短編を読める,まとまった文章を書ける
中国語,5,HSK5級・中検2級,初中 语文,週3〜4回×30〜40分。長文読解・作文・会話実践へ。留学や検定を目標にすると続きやすい。,HSK5級・中検2級・初中(中学)语文を参考,講演・討論の要点を掴める,筋道立てて主張できる,評論・記事を読める,構成のある文章を書ける
中国語,6,HSK6級・中検準1級以上,高中 语文以上,週4回×30〜40分。論説・専門記事の読解と、仕事のメール・報告書など実務中国語の作成に取り組む。,HSK6級・中検準1級・高中(高校)语文以上を参考,専門的な議論を理解できる,専門的な議論で発言できる,専門書・論説を読める,実務文書・論説を書ける
韓国語,1,ハングルが読める・あいさつ,就学前(ハングル読み),1日10〜15分。韓国語の童謡かけ流しとハングル遊び(반절표・カード)で音と文字に親しむ。,ハングル読みの就学前目安・韓国語入門教材を参考,あいさつと身近な語がわかる,あいさつと身近な言葉を言える,ハングルを読み始める,文字を書く準備ができる
韓国語,2,TOPIK I 1級・ハングル検定5級,초등(小学)1〜2年 국어,1日15〜20分。ハングルの読み書き定着+オンラインレッスン週1回。,TOPIK I 1級・ハングル検定5級・초등 1〜2年 국어を参考,ゆっくりの日常会話を聞き取れる,自己紹介と定型表現ができる,ハングルの短文を読める,短い文を書ける
韓国語,3,TOPIK I 2級・ハングル検定4級,초등 3〜4年 국어,週3回×20分+オンラインレッスン週1回。ドラマ・動画で耳を慣らす。,TOPIK I 2級・ハングル検定4級・초등 3〜4年 국어を参考,日常会話・動画を理解できる,実用場面をこなせる,まとまった短文を読める,短い文章を書ける
韓国語,4,TOPIK II 3級・ハングル検定3級,초등 5〜6年 국어,週3〜4回×30分。検定対策+韓国語コンテンツの多聴で語彙を定着させる。,TOPIK II 3級・ハングル検定3級・초등 5〜6年 국어を参考,ニュース・ドラマの大意を掴める,意見を述べられる,記事・短編を読める,まとまった文章を書ける
韓国語,5,TOPIK II 4〜5級・ハングル検定準2級,중학교(中学)국어,週3〜4回×30〜40分。長文読解・作文・会話実践へ。留学や検定を目標にすると続きやすい。,TOPIK II 4〜5級・ハングル検定準2級・중학교 국어を参考,講演・討論の要点を掴める,筋道立てて主張できる,評論・記事を読める,構成のある文章を書ける
韓国語,6,TOPIK II 6級・ハングル検定2級以上,고등학교(高校)국어以上,週4回×30〜40分。論説・専門記事の読解と、仕事のメール・報告書など実務韓国語の作成に取り組む。,TOPIK II 6級・ハングル検定2級・고등학교 국어以上を参考,専門的な議論を理解できる,専門的な議論で発言できる,専門書・論説を読める,実務文書・論説を書ける
ポルトガル語,1,文字と音・あいさつ / CEFR Pre-A1,就学前(識字前),1日10〜15分。ポルトガル語の童謡かけ流しと語りかけ。文字と音は遊びで少しずつ。,CEFR Pre-A1・ブラジル就学前(BNCC Educação Infantil)を参考,あいさつと身近な語がわかる,あいさつと身近な言葉を言える,文字と音に親しむ,文字を書く準備ができる
ポルトガル語,2,CEFR A1 / CAPLE ACESSO,Fundamental 1〜2年(BNCC),1日20〜30分。段階別リーダーの多読+オンラインレッスン週1回。,CEFR A1・CAPLE ACESSO・Ensino Fundamental 1〜2年(BNCC)を参考,日常のやりとりを聞き取れる,自分のことを文で話せる,段階別リーダーの初級を読める,短い文を書ける
ポルトガル語,3,CEFR A2 / CAPLE CIPLE,Fundamental 3〜5年,1日30分。子供向けの読み物多読+ポルトガル語日記+オンラインレッスン週1〜2回。,CEFR A2・CAPLE CIPLE・Ensino Fundamental 3〜5年を参考,子供向けコンテンツを字幕なしで理解,意見を理由付きで話せる,初級の読み物を読める,まとまった文章を書ける
ポルトガル語,4,Celpe-Bras Intermediário / CAPLE DEPLE(CEFR B1),Fundamental 6〜9年,1日30〜40分。映画・ニュースの多聴多読+作文を書いて添削を受ける。,Celpe-Bras Intermediário・CAPLE DEPLE・Ensino Fundamental 6〜9年を参考,生のコンテンツを楽しめる,社会的な話題で意見を言える,児童〜YA向け読み物を読める,構成のあるエッセイを書ける
ポルトガル語,5,Celpe-Bras Intermediário Superior / DIPLE(CEFR B2),Ensino Médio(高校),1日40分。ニュース・講演の素材で4技能をバランスよく。試験対策も並行する。,Celpe-Bras Intermediário Superior・CAPLE DIPLE・Ensino Médioを参考,講演・素材を理解,議論に参加できる,一般向け書籍・記事を読める,構成の整った意見文を書ける
ポルトガル語,6,Celpe-Bras Avançado / DAPLE〜DUPLE(CEFR C1〜),大学以上,週4回×40分。論説・専門記事の読解と、仕事のメール・報告書など実務ポルトガル語の作成に取り組む。,Celpe-Bras Avançado・CAPLE DAPLE〜DUPLE・大学以上を参考,専門的な講演・議論を理解,専門的な議論で発言できる,専門書・論説を読める,実務文書・論説を書ける
スペイン語,1,文字と音・あいさつ / CEFR Pre-A1,就学前(識字前),1日10〜15分。スペイン語の童謡かけ流しと語りかけ。文字と音は遊びで少しずつ。,CEFR Pre-A1・スペイン/中南米の就学前(Educación Infantil)を参考,あいさつと身近な語がわかる,あいさつと身近な言葉を言える,文字と音に親しむ,文字を書く準備ができる
スペイン語,2,DELE A1・西検6級,Primaria 1〜2年,1日20〜30分。段階別リーダーの多読+オンラインレッスン週1回。,CEFR A1・DELE A1・西検6級・Primaria 1〜2年を参考,日常のやりとりを聞き取れる,自分のことを文で話せる,段階別リーダーの初級を読める,短い文を書ける
スペイン語,3,DELE A2・西検5〜4級,Primaria 3〜4年,1日30分。子供向けの読み物多読+スペイン語日記+オンラインレッスン週1〜2回。,CEFR A2・DELE A2・西検5〜4級・Primaria 3〜4年を参考,子供向けコンテンツを字幕なしで理解,意見を理由付きで話せる,初級の読み物を読める,まとまった文章を書ける
スペイン語,4,DELE B1・西検3級,Primaria 5〜6年,1日30〜40分。映画・ニュースの多聴多読+作文を書いて添削を受ける。,CEFR B1・DELE B1・西検3級・Primaria 5〜6年を参考,生のコンテンツを楽しめる,社会的な話題で意見を言える,児童〜YA向け読み物を読める,構成のあるエッセイを書ける
スペイン語,5,DELE B2・西検2級,Secundaria(中等),1日40分。ニュース・講演の素材で4技能をバランスよく。試験対策も並行する。,CEFR B2・DELE B2・西検2級・Secundaria(中等教育)を参考,講演・素材を理解,議論に参加できる,一般向け書籍・記事を読める,構成の整った意見文を書ける
スペイン語,6,DELE C1・西検1級,Bachillerato(高校)以上,週4回×40分。論説・専門記事の読解と、仕事のメール・報告書など実務スペイン語の作成に取り組む。,CEFR C1・DELE C1・西検1級・Bachillerato以上を参考,専門的な講演・議論を理解,専門的な議論で発言できる,専門書・論説を読める,実務文書・論説を書ける
